periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[15, 10, 6]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,23,11.5,6.238,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1)]"
"[15, 10, 6]",1755016038,"[0, 0, 1]","[0, 0, 1]",1,24,12.5,6.238,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1)]"
"[15, 10, 6]",1755016039,"[0, 0, 2]","[0, 0, 2]",2,19,10.5,4.573,12,"[(2, 1), (3, 1), (4, 1), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 1), (18, 1), (19, 1)]"
"[15, 10, 6]",1755016040,"[0, 0, 3]","[0, 0, 3]",3,20,11.5,4.573,11,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 1), (19, 1), (20, 1)]"
"[15, 10, 6]",1755016041,"[0, 0, 4]","[0, 0, 4]",4,21,12.5,4.573,10,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 1), (20, 1), (21, 1)]"
"[15, 10, 6]",1755016042,"[0, 0, 5]","[0, 0, 5]",5,22,13.5,4.573,9,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 1), (21, 1), (22, 1)]"
"[15, 10, 6]",1755016043,"[0, 0, 6]","[0, 0, 6]",0,23,11.5,6.238,8,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1)]"
"[15, 10, 6]",1755016044,"[0, 1, 0]","[0, 1, 0]",6,23,14.5,4.573,8,"[(6, 1), (7, 1), (8, 1), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 1), (22, 1), (23, 1)]"
"[15, 10, 6]",1755016045,"[0, 1, 1]","[0, 1, 1]",1,24,12.5,6.238,7,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1)]"
"[15, 10, 6]",1755016046,"[0, 1, 2]","[0, 1, 2]",2,25,13.5,6.238,6,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1)]"
"[15, 10, 6]",1755016047,"[0, 1, 3]","[0, 1, 3]",3,20,11.5,4.573,11,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 1), (19, 1), (20, 1)]"
"[15, 10, 6]",1755016048,"[0, 1, 4]","[0, 1, 4]",4,21,12.5,4.573,10,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 1), (20, 1), (21, 1)]"
