periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[11, 5, 10]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,23,13.5,4.272,3,"[(4, 1), (5, 2), (6, 3), (7, 4), (8, 5), (9, 6), (10, 7), (11, 8), (12, 9), (13, 10), (14, 10), (15, 9), (16, 8), (17, 7), (18, 6), (19, 5), (20, 4), (21, 3), (22, 2), (23, 1)]"
"[11, 5, 11]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,24,10.2,5.418,3,"[(3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1)]"
"[11, 5, 12]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.89,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 25), (7, 30), (8, 35), (9, 40), (10, 45), (11, 49), (12, 51), (13, 51), (14, 49), (15, 45), (16, 40), (17, 35), (18, 30), (19, 25), (20, 20), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 6, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,16,8.5,3.594,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 5), (13, 4), (14, 3), (15, 2), (16, 1)]"
"[11, 6, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,17,9.5,3.594,3,"[(2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 5), (14, 4), (15, 3), (16, 2), (17, 1)]"
"[11, 6, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,18,9.5,3.731,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 8), (6, 10), (7, 11), (8, 12), (9, 12), (10, 12), (11, 12), (12, 11), (13, 10), (14, 8), (15, 6), (16, 4), (17, 2), (18, 1)]"
"[11, 6, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,19,9.5,3.862,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 24), (7, 27), (8, 29), (9, 30), (10, 30), (11, 29), (12, 27), (13, 24), (14, 20), (15, 15), (16, 10), (17, 6), (18, 3), (19, 1)]"
"[11, 6, 6]",1755016037,"[0, 0, 5]","[0, 0, 5]",5,20,12.5,3.594,3,"[(5, 1), (6, 2), (7, 3), (8, 4), (9, 5), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1)]"
"[11, 6, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,10.5,4.113,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 27), (7, 32), (8, 36), (9, 39), (10, 41), (11, 41), (12, 39), (13, 36), (14, 32), (15, 27), (16, 21), (17, 15), (18, 10), (19, 6), (20, 3), (21, 1)]"
"[11, 6, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,11.5,4.233,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 15), (8, 18), (9, 20), (10, 22), (11, 23), (12, 23), (13, 22), (14, 20), (15, 18), (16, 15), (17, 12), (18, 9), (19, 6), (20, 4), (21, 2), (22, 1)]"
"[11, 6, 9]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,23,12.5,4.349,3,"[(2, 1), (3, 2), (4, 3), (5, 5), (6, 7), (7, 9), (8, 11), (9, 13), (10, 15), (11, 16), (12, 17), (13, 17), (14, 16), (15, 15), (16, 13), (17, 11), (18, 9), (19, 7), (20, 5), (21, 3), (22, 2), (23, 1)]"
"[11, 6, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,24,12.5,4.573,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 15), (8, 18), (9, 21), (10, 24), (11, 26), (12, 27), (13, 27), (14, 26), (15, 24), (16, 21), (17, 18), (18, 15), (19, 12), (20, 9), (21, 6), (22, 4), (23, 2), (24, 1)]"
"[11, 6, 11]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,25,10.833,5.177,3,"[(4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1)]"
"[11, 6, 12]",1755016037,"[0, 0, 5]","[0, 0, 5]",5,26,15.5,4.682,3,"[(5, 1), (6, 2), (7, 3), (8, 4), (9, 5), (10, 6), (11, 7), (12, 8), (13, 9), (14, 10), (15, 11), (16, 11), (17, 10), (18, 9), (19, 8), (20, 7), (21, 6), (22, 5), (23, 4), (24, 3), (25, 2), (26, 1)]"
"[11, 7, 2]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,8.5,3.775,3,"[(0, 1), (1, 3), (2, 5), (3, 7), (4, 9), (5, 11), (6, 13), (7, 14), (8, 14), (9, 14), (10, 14), (11, 13), (12, 11), (13, 9), (14, 7), (15, 5), (16, 3), (17, 1)]"
"[11, 7, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,18,9,3.83,3,"[(0, 1), (1, 3), (2, 6), (3, 9), (4, 12), (5, 15), (6, 18), (7, 20), (8, 21), (9, 21), (10, 21), (11, 20), (12, 18), (13, 15), (14, 12), (15, 9), (16, 6), (17, 3), (18, 1)]"
"[11, 7, 4]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,19,9.5,3.905,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 14), (5, 18), (6, 22), (7, 25), (8, 27), (9, 28), (10, 28), (11, 27), (12, 25), (13, 22), (14, 18), (15, 14), (16, 10), (17, 6), (18, 3), (19, 1)]"
"[11, 7, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,20,10,4,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 25), (7, 29), (8, 32), (9, 34), (10, 35), (11, 34), (12, 32), (13, 29), (14, 25), (15, 20), (16, 15), (17, 10), (18, 6), (19, 3), (20, 1)]"
"[11, 7, 6]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,10.5,4.113,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 27), (7, 32), (8, 36), (9, 39), (10, 41), (11, 41), (12, 39), (13, 36), (14, 32), (15, 27), (16, 21), (17, 15), (18, 10), (19, 6), (20, 3), (21, 1)]"
"[11, 7, 7]",1755016037,"[0, 0, 6]","[0, 0, 6]",6,22,14,3.742,3,"[(6, 1), (7, 2), (8, 3), (9, 4), (10, 5), (11, 6), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 6), (18, 5), (19, 4), (20, 3), (21, 2), (22, 1)]"
"[11, 7, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,23,11.5,4.387,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 41), (9, 46), (10, 50), (11, 52), (12, 52), (13, 50), (14, 46), (15, 41), (16, 35), (17, 28), (18, 21), (19, 15), (20, 10), (21, 6), (22, 3), (23, 1)]"
"[11, 7, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,24,12,4.546,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 48), (10, 53), (11, 56), (12, 57), (13, 56), (14, 53), (15, 48), (16, 42), (17, 35), (18, 28), (19, 21), (20, 15), (21, 10), (22, 6), (23, 3), (24, 1)]"
"[11, 7, 10]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.717,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 49), (10, 55), (11, 59), (12, 61), (13, 61), (14, 59), (15, 55), (16, 49), (17, 42), (18, 35), (19, 28), (20, 21), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 7, 11]",1755016037,"[0, 0, 5]","[0, 0, 5]",5,26,11.571,4.982,3,"[(5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1)]"
"[11, 7, 12]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,27,13.5,5.091,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 49), (10, 56), (11, 62), (12, 66), (13, 68), (14, 68), (15, 66), (16, 62), (17, 56), (18, 49), (19, 42), (20, 35), (21, 28), (22, 21), (23, 15), (24, 10), (25, 6), (26, 3), (27, 1)]"
"[11, 8, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,18,9.5,3.905,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 7), (13, 6), (14, 5), (15, 4), (16, 3), (17, 2), (18, 1)]"
"[11, 8, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,19,9.5,3.99,3,"[(0, 1), (1, 3), (2, 6), (3, 9), (4, 12), (5, 15), (6, 18), (7, 21), (8, 23), (9, 24), (10, 24), (11, 23), (12, 21), (13, 18), (14, 15), (15, 12), (16, 9), (17, 6), (18, 3), (19, 1)]"
"[11, 8, 4]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,20,11.5,3.905,3,"[(3, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7), (10, 8), (11, 8), (12, 8), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1)]"
"[11, 8, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,10.5,4.153,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 25), (7, 30), (8, 34), (9, 37), (10, 39), (11, 39), (12, 37), (13, 34), (14, 30), (15, 25), (16, 20), (17, 15), (18, 10), (19, 6), (20, 3), (21, 1)]"
"[11, 8, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,11.5,4.233,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 15), (8, 18), (9, 20), (10, 22), (11, 23), (12, 23), (13, 22), (14, 20), (15, 18), (16, 15), (17, 12), (18, 9), (19, 6), (20, 4), (21, 2), (22, 1)]"
"[11, 8, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,23,11.5,4.387,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 41), (9, 46), (10, 50), (11, 52), (12, 52), (13, 50), (14, 46), (15, 41), (16, 35), (17, 28), (18, 21), (19, 15), (20, 10), (21, 6), (22, 3), (23, 1)]"
"[11, 8, 8]",1755016037,"[0, 0, 7]","[0, 0, 7]",7,24,15.5,3.905,3,"[(7, 1), (8, 2), (9, 3), (10, 4), (11, 5), (12, 6), (13, 7), (14, 8), (15, 8), (16, 8), (17, 8), (18, 7), (19, 6), (20, 5), (21, 4), (22, 3), (23, 2), (24, 1)]"
"[11, 8, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.682,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 36), (8, 44), (9, 51), (10, 57), (11, 61), (12, 63), (13, 63), (14, 61), (15, 57), (16, 51), (17, 44), (18, 36), (19, 28), (20, 21), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 8, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,26,13.5,4.822,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 16), (8, 20), (9, 24), (10, 28), (11, 31), (12, 33), (13, 34), (14, 34), (15, 33), (16, 31), (17, 28), (18, 24), (19, 20), (20, 16), (21, 12), (22, 9), (23, 6), (24, 4), (25, 2), (26, 1)]"
"[11, 8, 11]",1755016037,"[0, 0, 6]","[0, 0, 6]",6,27,12.375,4.82,3,"[(6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1)]"
"[11, 8, 12]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,28,15.5,5.091,3,"[(3, 1), (4, 2), (5, 3), (6, 4), (7, 6), (8, 8), (9, 10), (10, 12), (11, 14), (12, 16), (13, 18), (14, 19), (15, 19), (16, 19), (17, 19), (18, 18), (19, 16), (20, 14), (21, 12), (22, 10), (23, 8), (24, 6), (25, 4), (26, 3), (27, 2), (28, 1)]"
"[11, 9, 2]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,19,9.5,4.113,3,"[(0, 1), (1, 3), (2, 5), (3, 7), (4, 9), (5, 11), (6, 13), (7, 15), (8, 17), (9, 18), (10, 18), (11, 17), (12, 15), (13, 13), (14, 11), (15, 9), (16, 7), (17, 5), (18, 3), (19, 1)]"
"[11, 9, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,20,11,4.082,3,"[(2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8), (10, 9), (11, 9), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1)]"
"[11, 9, 4]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,10.5,4.233,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 14), (5, 18), (6, 22), (7, 26), (8, 30), (9, 33), (10, 35), (11, 35), (12, 33), (13, 30), (14, 26), (15, 22), (16, 18), (17, 14), (18, 10), (19, 6), (20, 3), (21, 1)]"
"[11, 9, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,22,11,4.32,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 25), (7, 30), (8, 35), (9, 39), (10, 42), (11, 43), (12, 42), (13, 39), (14, 35), (15, 30), (16, 25), (17, 20), (18, 15), (19, 10), (20, 6), (21, 3), (22, 1)]"
"[11, 9, 6]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,23,12.5,4.349,3,"[(2, 1), (3, 2), (4, 3), (5, 5), (6, 7), (7, 9), (8, 11), (9, 13), (10, 15), (11, 16), (12, 17), (13, 17), (14, 16), (15, 15), (16, 13), (17, 11), (18, 9), (19, 7), (20, 5), (21, 3), (22, 2), (23, 1)]"
"[11, 9, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,24,12,4.546,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 48), (10, 53), (11, 56), (12, 57), (13, 56), (14, 53), (15, 48), (16, 42), (17, 35), (18, 28), (19, 21), (20, 15), (21, 10), (22, 6), (23, 3), (24, 1)]"
"[11, 9, 8]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.682,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 36), (8, 44), (9, 51), (10, 57), (11, 61), (12, 63), (13, 63), (14, 61), (15, 57), (16, 51), (17, 44), (18, 36), (19, 28), (20, 21), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 9, 9]",1755016037,"[0, 0, 8]","[0, 0, 8]",8,26,17,4.082,3,"[(8, 1), (9, 2), (10, 3), (11, 4), (12, 5), (13, 6), (14, 7), (15, 8), (16, 9), (17, 9), (18, 9), (19, 8), (20, 7), (21, 6), (22, 5), (23, 4), (24, 3), (25, 2), (26, 1)]"
"[11, 9, 10]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,27,13.5,4.992,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 36), (8, 45), (9, 54), (10, 62), (11, 68), (12, 72), (13, 74), (14, 74), (15, 72), (16, 68), (17, 62), (18, 54), (19, 45), (20, 36), (21, 28), (22, 21), (23, 15), (24, 10), (25, 6), (26, 3), (27, 1)]"
"[11, 9, 11]",1755016037,"[0, 0, 7]","[0, 0, 7]",7,28,13.222,4.685,3,"[(7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1)]"
"[11, 9, 12]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,29,15.5,5.284,3,"[(2, 1), (3, 2), (4, 3), (5, 5), (6, 7), (7, 9), (8, 12), (9, 15), (10, 18), (11, 21), (12, 24), (13, 26), (14, 27), (15, 28), (16, 28), (17, 27), (18, 26), (19, 24), (20, 21), (21, 18), (22, 15), (23, 12), (24, 9), (25, 7), (26, 5), (27, 3), (28, 2), (29, 1)]"
"[11, 10, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,20,10.5,4.272,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 10), (12, 9), (13, 8), (14, 7), (15, 6), (16, 5), (17, 4), (18, 3), (19, 2), (20, 1)]"
"[11, 10, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,10.5,4.349,3,"[(0, 1), (1, 3), (2, 6), (3, 9), (4, 12), (5, 15), (6, 18), (7, 21), (8, 24), (9, 27), (10, 29), (11, 29), (12, 27), (13, 24), (14, 21), (15, 18), (16, 15), (17, 12), (18, 9), (19, 6), (20, 3), (21, 1)]"
"[11, 10, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,11.5,4.387,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 8), (6, 10), (7, 12), (8, 14), (9, 16), (10, 18), (11, 19), (12, 19), (13, 18), (14, 16), (15, 14), (16, 12), (17, 10), (18, 8), (19, 6), (20, 4), (21, 2), (22, 1)]"
"[11, 10, 5]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,23,13.5,4.272,3,"[(4, 1), (5, 2), (6, 3), (7, 4), (8, 5), (9, 6), (10, 7), (11, 8), (12, 9), (13, 10), (14, 10), (15, 9), (16, 8), (17, 7), (18, 6), (19, 5), (20, 4), (21, 3), (22, 2), (23, 1)]"
"[11, 10, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,24,12.5,4.573,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 15), (8, 18), (9, 21), (10, 24), (11, 26), (12, 27), (13, 27), (14, 26), (15, 24), (16, 21), (17, 18), (18, 15), (19, 12), (20, 9), (21, 6), (22, 4), (23, 2), (24, 1)]"
"[11, 10, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.717,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 49), (10, 55), (11, 59), (12, 61), (13, 61), (14, 59), (15, 55), (16, 49), (17, 42), (18, 35), (19, 28), (20, 21), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 10, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,26,13.5,4.822,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 16), (8, 20), (9, 24), (10, 28), (11, 31), (12, 33), (13, 34), (14, 34), (15, 33), (16, 31), (17, 28), (18, 24), (19, 20), (20, 16), (21, 12), (22, 9), (23, 6), (24, 4), (25, 2), (26, 1)]"
"[11, 10, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,27,13.5,4.992,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 36), (8, 45), (9, 54), (10, 62), (11, 68), (12, 72), (13, 74), (14, 74), (15, 72), (16, 68), (17, 62), (18, 54), (19, 45), (20, 36), (21, 28), (22, 21), (23, 15), (24, 10), (25, 6), (26, 3), (27, 1)]"
"[11, 10, 10]",1755016037,"[0, 0, 9]","[0, 0, 9]",9,28,18.5,4.272,3,"[(9, 1), (10, 2), (11, 3), (12, 4), (13, 5), (14, 6), (15, 7), (16, 8), (17, 9), (18, 10), (19, 10), (20, 9), (21, 8), (22, 7), (23, 6), (24, 5), (25, 4), (26, 3), (27, 2), (28, 1)]"
"[11, 10, 11]",1755016037,"[0, 0, 8]","[0, 0, 8]",8,29,14.1,4.571,3,"[(8, 9), (9, 9), (10, 9), (11, 9), (12, 9), (13, 9), (14, 9), (15, 9), (16, 9), (17, 9), (18, 9), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
"[11, 10, 12]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,30,15.5,5.47,3,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 9), (6, 12), (7, 16), (8, 20), (9, 25), (10, 30), (11, 35), (12, 39), (13, 42), (14, 44), (15, 45), (16, 45), (17, 44), (18, 42), (19, 39), (20, 35), (21, 30), (22, 25), (23, 20), (24, 16), (25, 12), (26, 9), (27, 6), (28, 4), (29, 2), (30, 1)]"
"[11, 11, 2]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,21,15.5,3.202,3,"[(10, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 1)]"
"[11, 11, 3]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,22,16,3.266,3,"[(10, 1), (11, 2), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (21, 2), (22, 1)]"
"[11, 11, 4]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,23,16.5,3.354,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 4), (20, 4), (21, 3), (22, 2), (23, 1)]"
"[11, 11, 5]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,24,17,3.464,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 5), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 4), (22, 3), (23, 2), (24, 1)]"
"[11, 11, 6]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,25,17.5,3.594,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 5), (22, 4), (23, 3), (24, 2), (25, 1)]"
"[11, 11, 7]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,26,18,3.742,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 7), (17, 7), (18, 7), (19, 7), (20, 7), (21, 6), (22, 5), (23, 4), (24, 3), (25, 2), (26, 1)]"
"[11, 11, 8]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,27,18.5,3.905,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 7), (17, 8), (18, 8), (19, 8), (20, 8), (21, 7), (22, 6), (23, 5), (24, 4), (25, 3), (26, 2), (27, 1)]"
"[11, 11, 9]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,28,19,4.082,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 7), (17, 8), (18, 9), (19, 9), (20, 9), (21, 8), (22, 7), (23, 6), (24, 5), (25, 4), (26, 3), (27, 2), (28, 1)]"
"[11, 11, 10]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,29,19.5,4.272,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 7), (17, 8), (18, 9), (19, 10), (20, 10), (21, 9), (22, 8), (23, 7), (24, 6), (25, 5), (26, 4), (27, 3), (28, 2), (29, 1)]"
"[11, 11, 11]",1755016037,"[0, 10, 9]","[0, 10, 9]",20,30,25,3.162,3,"[(20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1)]"
"[11, 11, 12]",1755016037,"[0, 10, 0]","[0, 10, 0]",10,31,20.5,4.682,3,"[(10, 1), (11, 2), (12, 3), (13, 4), (14, 5), (15, 6), (16, 7), (17, 8), (18, 9), (19, 10), (20, 11), (21, 11), (22, 10), (23, 9), (24, 8), (25, 7), (26, 6), (27, 5), (28, 4), (29, 3), (30, 2), (31, 1)]"
"[11, 12, 2]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,11.5,4.682,3,"[(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 11), (13, 10), (14, 9), (15, 8), (16, 7), (17, 6), (18, 5), (19, 4), (20, 3), (21, 2), (22, 1)]"
"[11, 12, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,23,12.5,4.682,3,"[(2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8), (10, 9), (11, 10), (12, 11), (13, 11), (14, 10), (15, 9), (16, 8), (17, 7), (18, 6), (19, 5), (20, 4), (21, 3), (22, 2), (23, 1)]"
"[11, 12, 4]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,24,13.5,4.682,3,"[(3, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7), (10, 8), (11, 9), (12, 10), (13, 11), (14, 11), (15, 10), (16, 9), (17, 8), (18, 7), (19, 6), (20, 5), (21, 4), (22, 3), (23, 2), (24, 1)]"
"[11, 12, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,25,12.5,4.89,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 20), (6, 25), (7, 30), (8, 35), (9, 40), (10, 45), (11, 49), (12, 51), (13, 51), (14, 49), (15, 45), (16, 40), (17, 35), (18, 30), (19, 25), (20, 20), (21, 15), (22, 10), (23, 6), (24, 3), (25, 1)]"
"[11, 12, 6]",1755016037,"[0, 0, 5]","[0, 0, 5]",5,26,15.5,4.682,3,"[(5, 1), (6, 2), (7, 3), (8, 4), (9, 5), (10, 6), (11, 7), (12, 8), (13, 9), (14, 10), (15, 11), (16, 11), (17, 10), (18, 9), (19, 8), (20, 7), (21, 6), (22, 5), (23, 4), (24, 3), (25, 2), (26, 1)]"
"[11, 12, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,27,13.5,5.091,3,"[(0, 1), (1, 3), (2, 6), (3, 10), (4, 15), (5, 21), (6, 28), (7, 35), (8, 42), (9, 49), (10, 56), (11, 62), (12, 66), (13, 68), (14, 68), (15, 66), (16, 62), (17, 56), (18, 49), (19, 42), (20, 35), (21, 28), (22, 21), (23, 15), (24, 10), (25, 6), (26, 3), (27, 1)]"
